id,disease,info,info_heb,wiki,wiki_heb,disease_heb
100,Varicella - Chickenpox,"Chickenpox, also known as varicella, is a highly contagious disease caused by the initial infection with varicella zoster virus (VZV).[3] The disease results in a characteristic skin rash that forms small, itchy blisters, which eventually scab over.[1] It usually starts on the chest, back, and face then spreads to the rest of the body.[1] Other symptoms may include fever, tiredness, and headaches.[1] Symptoms usually last five to seven days.[1] Complications may occasionally include pneumonia, inflammation of the brain, and bacterial skin infections.[6] The disease is often more severe in adults than in children.[7] Symptoms begin 10 to 21 days after exposure to the virus.[2]","אבעבועות רוחהיא מחלה נגיפית שכיחה ומידבקת הנחשבת כאחת ממחלות הילדות, אך בשנים האחרונות שכיחה גם בקרב מבוגרים, אצלם היא עלולה להיות מסוכנת במיוחד. גורם המחלה הוא נגיף ממשפחת נגיפי ההרפס הנקרא וריצלה זוסטר וירוס.",https://en.wikipedia.org/wiki/Chickenpox,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A2%D7%91%D7%95%D7%A2%D7%95%D7%AA_%D7%A8%D7%95%D7%97,אבעבועות רוח
101,Smallpox,,,,,אבעבועות שחורות
102,Rubella,,,,,אדמת
103,Congenital rubella,,,,,אדמת מלידה
104,E. coli O157:H7 infection,,,,,"זיהום ע""י א. קולי O157:H7"
105,HIV carrier/ AIDS,,,,,נשא HIV/ איידס
106,Echinococcosis,,,,,אכינוקוקוזיס
107,Diphtheria,,,,,אסכרה
108,Botulism,,,,,בוטוליזם
109,Brucellosis,,,,,ברוצלוזיס
110,Giardiasis,,,,,ג'יארדיאזיס
111,Anthrax,,,,,גחלת
112,Pneumonic Plague,,,,,דבר נשימתי
113,Plague- non pneumonic,,,,,דבר שאינו נשימתי
114,Acute Hepatitis A,,"הפטיטיס A (ידוע גם כהפטיטיס מדבק וכצהבת נגיפית מסוג A), היא מחלה מידבקת פקו אוראלית הפוגעת בכבד, היא נגרמת על ידי וירוס הפטיטיס A ‏(HAV) המועבר במים ואוכל נגועים או על ידי מגע ישיר באדם החולה. עשרות מיליוני אנשים נדבקים בנגיף מדי שנה. הזמן החולף בין ההדבקות עצמה לזמן בו התסמינים מתחילים להופיע נע בין כשבועיים לכשישה שבועות, ואילו הזמן הממוצע העובר בין ההידבקות בנגיף להופעת התסמינים הוא כ-28 ימים.

במדינות מתפתחות, ובאזורים בעלי רמת היגיינה נמוכה הנגיף מופיע לעיתים קרובות יותר, ומרבית האנשים נדבקים בו עוד בילדות. כשההכנסה והגישה למים נקיים עולה, יורדת גם כמות הנדבקים במחלה. בני אדם המבריאים מהפטיטיס A נעשים חסינים אליה ביותר מתשעים אחוז מהמקרים והחיסון נגדה מספק הגנה הקרובה למאה אחוז. הסכנה לסיבוכים או למוות מהמחלה עולה עם הגיל.",,https://he.wikipedia.org/wiki/%D7%94%D7%A4%D7%98%D7%99%D7%98%D7%99%D7%A1_A,דלקת כבד נגיפית A
115,Acute Hepatitis B,,"נגיף הפטיטיס B (שם מדעי: HBV, קיצור של Hepatitis B virus, בעברית: צהבת נגיפית מסוג B) הוא נגיף אשר מהווה את הגורם העשירי בחשיבותו למחלות כבד אשר ביניהן נמנות דלקת כבד נגיפית ושחמת הכבד שעלולה להוביל לסרטן. הנגיף נמצא בשכיחות גבוהה במרכז ודרום אפריקה, כמו גם בדרום מזרח אסיה.

הווירוס שייך למשפחת ה-hepadnaviruses, ומורכב מממברנה ליפידית המכילה שלושה סוגי חלבוני מעטפת העוטפת את הקפסיד האיקוסהדרלי.

הווירוס כולל 8 גנוטיפים, והוא מדביק רק בני אדם וקופי שימפנזה. הנגיף מועבר דרך הדם בעת עירויים, נוזלי גוף שונים כגון נוזל הזרע ועל ידי שימוש במחטים מזוהמות.",,https://he.wikipedia.org/wiki/%D7%94%D7%A4%D7%98%D7%99%D7%98%D7%99%D7%A1_B,דלקת כבד נגיפית B
116,Acute Hepatitis C,,"הפטיטיס C (באנגלית: Hepatitis C) היא מחלת כבד הנגרמת על ידי וירוס ההפטיטיס C, ממשפחת הפלאוויווירידה. מחלה זו שייכת לקבוצת מחלות הקרויה דלקת כבד נגיפית הנגרמת על ידי מספר וירוסים. הדבקה בווירוס הפטיטיס C התרחשה בעבר בעיקר דרך מנות דם נגועות, אולם לאחר קיום מבחנים סרולוגיים מתקדמים הסיכוי להידבק על ידי מנת דם נגועה הוא נמוך מאוד ועומד, נכון ל-2012, על 1 למעל שני מיליון מנות דם. בנוסף להדבקה על ידי עירוי דם, ניתן להידבק באופן מילעורי (דרך העור), למשל על ידי הזרקת סמים, או חשיפה תעסוקתית או רפואית לדם (לדוגמה, חולי דיאליזה, או הידבקות של אנשי צוות רפואי שאז הסיכון עומד על 3% להידבקות על ידי מחט נגועה). ברוב המדינות, שכיחות הזיהום נעה בין 1% עד 2% מהאוכלוסייה, אולם קיימות מדינות עם שכיחות גבוהה בהרבה, כך למשל במצרים בה קיימת שכיחות הגבוהה מ-20% בערים מסוימות. וירוס זה אחראי ל-40% ממחלות הכבד הכרוניות והוא מהווה את האינדיקציה העיקרית לצורך בהשתלת כבד, היות שבמרבית המקרים הדבקה בווירוס מביאה להיווצרות מחלה כרונית של הכבד (""הפטיטיס כרונית"").",,https://he.wikipedia.org/wiki/%D7%94%D7%A4%D7%98%D7%99%D7%98%D7%99%D7%A1_C,דלקת כבד נגיפית C
117,Acute viral hepatitis - other,,,,,דלקת כבד נגיפית אחרת
118,Encephalitis,,,,,דלקת מח חדה
119,Meningitis - meningococcal,,,,,דלקת עוצבה חדה מנינגוקוקית
120,Meningitis - Haemophilus influenzae b,,,,,"דלקת עוצבה חדה ע""י Hib"
121,Meningitis - pneumococcal,,,,,דלקת עוצבה חדה פנוימוקוקית
122,Acute viral meningitis,,,,,דלקת עוצבה נגיפית
123,Meningitis - unknown agent,,,,,דלקת עוצבה - מחולל לא ידוע
124,Meningitis - other,,,,,דלקת עוצבה חדה אחרת
125,Gonorrhea,,,,,זיבה
126,H. influenzae b invasive infection,,,,,"זיהום פולשני ע""י Hib"
129,Mumps,,"חזרת (שם מדעי: Mumps) היא מחלה זיהומית נגיפית, הפוגעת בבלוטות הרוק ובבלוטות מתחת לאוזניים. לפני המצאת החיסון הייתה החזרת מחלה נפוצה בקרב ילדים.
נגיף החזרת ייחודי לבני אדם, ואין הוא עובר לבעלי חיים.

מרבית הנדבקים הם ילדים בין גיל 5 לגיל 15. המחלה אינה שכיחה בקרב ילדים מתחת גיל שנתיים. אצל אנשים מבוגרים יותר יכולה המחלה להתפשט לאיברי המין, למערכת העצבים, ללבלב ולאיברים נוספים ימים לפני הופעת התסמינים החיצוניים (בעיקר התנפחות בלוטות הרוק), והוא ממשיך להדביק כמה ימים לאחר מכן.

ההנחיה המקובלת היא להימנע מהליכה לגן ולבית הספר במשך חמשת הימים הראשונים שלאחר הופעת התסמינים החיצוניים.",,https://he.wikipedia.org/wiki/%D7%97%D7%96%D7%A8%D7%AA_(%D7%9E%D7%97%D7%9C%D7%94),חזרת
127,Meningococcal invasive infection,,,,,"זיהום פולשני ע""י מנינגוקוק"
128,Pneumococcal invasive infection,,,,,"זיהום פולשני ע""י פנוימוקוק"
130,Measles,,"חצבת היא מחלה נפוצה הנגרמת על ידי נגיף מסוג מורביליווירוס התוקף את המערכת החיסונית. חצבת היא המחלה הוויראלית המידבקת ביותר, ואחת המחלות הזיהומיות השכיחות בעולם, גם כיום, עם הימצאו של חיסון יעיל נגד המחלה.

דיווחים ראשונים על חצבת מתועדים עוד משנת 700 לספירה. ההסבר המדעי הראשון של המחלה והבדליה מאבעבועות שחורות מיוחס לרופא הפרסי אל-ראזי (860–932), אשר פרסם את הספר ""אבעבועות שחורות וחצבת"". בשנת 1954 בודד ג'ון פרנקלין אנדרס את הווירוס הגורם למחלה.

בשנת 1963 אושר לשימוש חיסון מורשה למניעת המחלה. יעילות החיסון אחרי מנה אחת היא 93%, ולאחר שתי מנות היעילות היא 97%.",,https://he.wikipedia.org/wiki/%D7%97%D7%A6%D7%91%D7%AA,חצבת
131,Tularemia,,,,,טולרמיה
132,Typhoid,,,,,טיפואיד
133,Murine typhus,,,,,טיפוס מוריני
134,Cholera,,,,,כולירה
135,Non cholera vibrio infection,,,,,ויבריו שאינו כולירה
